,firstSeen,askPrice,isNew,color,brandName,modelName,vf_Seats,vf_WheelBaseShort,vf_Wheels,vf_Windows
1071764,2019-01-18,23987,False,Mosaic Black Metallic,CHEVROLET,Impala,5,111.7,4,4
1071771,2018-10-28,15764,True,Silver Ice Metallic,CHEVROLET,Cruze,5,106.30,4,4
1071778,2019-01-18,14884,True,Silver Ice Metallic,CHEVROLET,Cruze,5,106.30,4,4
1071780,2018-08-29,12912,True,Passion Fruit Metallic,CHEVROLET,Spark,4,93.90,4,4
1071785,2018-07-02,29638,True,Cajun Red Tintcoat,CHEVROLET,Malibu,5,111.4,4,4
1071789,2018-10-11,19060,True,Pacific Blue Metallic,CHEVROLET,Malibu,5,111.40,4,4
1071798,2018-10-13,19060,True,Shadow Gray Metallic,CHEVROLET,Malibu,5,111.40,4,4
1071800,2019-01-31,23987,False,Gray,CHEVROLET,Impala,5,111.7,4,4
1071802,2019-01-16,14694,True,Mosaic Black Metallic,CHEVROLET,Cruze,5,106.30,4,4
1071803,2018-12-19,26122,True,Black,CHEVROLET,Impala,5,111.70,4,4
1071807,2019-02-10,16987,False,Mosaic Black Metallic,CHEVROLET,Malibu,5,111.4,4,4
1071810,2018-10-23,16172,True,Oakwood Metallic,CHEVROLET,Cruze,5,106.3,4,6
1071812,2018-08-12,17914,True,Summit White,CHEVROLET,Malibu,5,111.4,4,4
1071820,2018-11-10,15764,True,Mosaic Black Metallic,CHEVROLET,Cruze,5,106.30,4,4
1071821,2018-04-21,17738,True,Summit White,CHEVROLET,Malibu,5,111.4,4,4
1071824,2018-11-21,18730,True,Silver Ice Metallic,CHEVROLET,Malibu,5,111.40,4,4
1071825,2018-11-05,15764,True,Mosaic Black Metallic,CHEVROLET,Cruze,5,106.30,4,4
1071826,2018-08-24,17892,True,Silver Ice Metallic,CHEVROLET,Malibu,5,111.4,4,4
1071827,2018-05-13,18110,True,Kinetic Blue Metallic,CHEVROLET,Cruze,5,106.3,4,4
1071833,2019-01-17,14694,True,Red Hot,CHEVROLET,Cruze,5,106.30,4,4
1071837,2018-12-10,24987,False,Quicksilver Metallic,BUICK,LaCrosse,5,114.4,4,4
1071840,2019-01-18,14694,True,Mosaic Black Metallic,CHEVROLET,Cruze,5,106.30,4,4
1071844,2018-01-12,18231,True,Summit White,CHEVROLET,Cruze,5,106.30,4,6
1071845,2018-05-20,18357,True,Cajun Red Tintcoat,CHEVROLET,Cruze,5,106.3,4,4
1071849,2019-02-26,18915,True,Mosaic Black Metallic,CHEVROLET,Malibu,5,111.40,4,4
1071869,2018-08-29,15010,True,Caribbean Blue Metallic,CHEVROLET,Spark,4,93.90,4,4
1071873,2019-02-25,20491,True,Mosaic Black Metallic,CHEVROLET,Malibu,5,111.40,4,4
1071874,2019-02-23,20506,True,Shadow Gray Metallic,CHEVROLET,Malibu,5,111.40,4,4
1071875,2019-02-22,18694,True,Mosaic Black Metallic,CHEVROLET,Cruze,5,106.30,4,4
1071877,2019-02-07,13987,False,Nightfall Gray Metallic,CHEVROLET,Malibu,5,111.40,4,4
1071882,2019-03-01,16487,False,White,CHEVROLET,Malibu,5,111.4,4,4
1071890,2018-05-31,19901,True,Kinetic Blue Metallic,CHEVROLET,Cruze,5,106.3,4,4
1071891,2019-03-01,25095,True,Silver Ice Metallic,CHEVROLET,Malibu,5,111.40,4,4
1071896,2019-01-17,17190,True,Summit White,CHEVROLET,Cruze,5,106.30,4,4
1071898,2019-01-18,17248,True,Mosaic Black Metallic,CHEVROLET,Cruze,5,106.30,4,4
1071900,2018-08-29,13239,True,Nightfall Gray Metallic,CHEVROLET,Spark,4,93.90,4,4
1071902,2019-02-28,18987,False,Silver,CHEVROLET,Malibu,5,111.4,4,4
1071903,2019-02-28,18987,False,Gray,CHEVROLET,Malibu,5,111.4,4,4
1071904,2019-02-28,18987,False,Gray,CHEVROLET,Malibu,5,111.4,4,4
1071905,2019-01-18,24987,False,Nightfall Gray Metallic,CHEVROLET,Impala,5,111.7,4,4
1071909,2018-11-26,16338,True,Oakwood Metallic,CHEVROLET,Cruze,5,106.30,4,4
1071911,2018-11-05,17248,True,Mosaic Black Metallic,CHEVROLET,Cruze,5,106.30,4,4
1071918,2017-11-21,14281,True,Summit White,CHEVROLET,Spark,4,93.9,4,4
1071919,2018-03-17,15936,True,Cajun Red Tintcoat,CHEVROLET,Sonic,5,99.4,4,4
1071920,2019-03-02,17987,False,Sandy Ridge,CHEVROLET,Malibu,5,111.4,4,4
1071926,2018-10-17,20598,True,Pacific Blue Metallic,CHEVROLET,Malibu,5,111.40,4,4
1071928,2018-08-13,13590,True,Caribbean Blue Metallic,CHEVROLET,Spark,4,93.90,4,4
1071930,2019-02-28,22283,True,Cajun Red Tintcoat,CHEVROLET,Malibu,5,111.4,4,4
1071934,2018-09-21,15851,True,Silver Ice Metallic,CHEVROLET,Spark,4,93.90,4,4
1071937,2019-03-10,16016,True,Summit White,CHEVROLET,Cruze,5,106.30,4,4
1071942,2019-02-24,28987,False,Mosaic Black Metallic,CHEVROLET,Impala,5,111.70,4,4
1071958,2019-02-26,20525,True,Mosaic Black Metallic,CHEVROLET,Malibu,5,111.40,4,4
1071963,2018-12-14,32578,True,Cajun Red Tintcoat,CHEVROLET,Impala,5,111.70,4,4
1071969,2019-01-08,17190,True,Silver Ice Metallic,CHEVROLET,Cruze,5,106.30,4,4
1071970,2018-11-10,17248,True,Mosaic Black Metallic,CHEVROLET,Cruze,5,106.30,4,4
1071971,2018-10-28,20001,True,Mosaic Black Metallic,CHEVROLET,Cruze,5,106.30,4,4
1071975,2019-03-12,20237,True,Mosaic Black Metallic,CHEVROLET,Malibu,5,111.40,4,4
1071982,2019-01-16,17190,True,Summit White,CHEVROLET,Cruze,5,106.30,4,4
1071985,2018-12-20,34202,True,Mosaic Black Metallic,CHEVROLET,Impala,5,111.70,4,4
1071988,2019-03-15,18987,False,Silver Ice Metallic,CHEVROLET,Malibu,5,111.4,4,4
1071989,2018-08-29,13377,True,Silver Ice Metallic,CHEVROLET,Spark,4,93.90,4,4
1071990,2019-03-14,20237,True,Summit White,CHEVROLET,Malibu,5,111.40,4,4
1071991,2019-02-27,16999,True,Silver Ice Metallic,CHEVROLET,Malibu,5,111.40,4,4
1071993,2019-01-18,23675,True,Cajun Red Tintcoat,CHEVROLET,Cruze,5,106.30,4,4
1071994,2018-12-19,35092,True,Iridescent Pearl Tricoat,CHEVROLET,Impala,5,111.70,4,4
1071995,2018-10-28,14987,True,Oakwood Metallic,CHEVROLET,Cruze,5,106.30,4,4
1071997,2018-07-28,34601,True,Mosaic Black Metallic,CHEVROLET,Volt,5,106.1,4,6
1072003,2019-02-08,9987,False,Mosaic Black Metallic,CHEVROLET,Sonic,5,99.4,4,4
1072004,2019-01-05,38212,True,Cajun Red Tintcoat,CHEVROLET,Impala,5,111.70,4,4
1072005,2018-11-02,13997,True,Summit White,CHEVROLET,Cruze,5,106.30,4,4
1072007,2018-09-28,10995,True,Summit White,CHEVROLET,Spark,4,93.90,4,4
1072013,2018-10-11,26262,True,Iridescent Pearl Tricoat,CHEVROLET,Malibu,5,111.40,4,4
1072014,2018-08-13,19935,True,Silver Ice Metallic,CHEVROLET,Malibu,5,111.4,4,4
